source_id,source_url,video_title,game_date,teams,batter,event_text,expected_label,rights_note,status,local_path,source_hash,notes
MLB_824902_martin-perez-exits-after-getting-drilled-with-liner,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/05/13cbb2be-b999881c-ac635cd3-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Martín Pérez exits after getting drilled with liner Martín Pérez exits after getting drilled with liner Martín Pérez exits after getting drilled with liner Martín Pérez is forced to leave the game after getting drilled by a line drive by a Juan Soto line drive in the top of the 5th,2026-07-05,New York Mets at Atlanta Braves,,Martín Pérez exits after getting drilled with liner Martín Pérez exits after getting drilled with liner Martín Pérez exits after getting drilled with liner Martín Pérez is forced to leave the game after getting drilled by a line drive by a Juan Soto line drive in the top of the 5th,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824902_martin-perez-exits-after-getting-drilled-with-liner_Mart_n_P_rez_exits_after_getting_drilled_with_liner_Mart_n_P_rez_exits_after_get.mp4,60e153df85729d0f6d3f898e9c882644a65d1f488c467ba58b38223a5cce5ad0,gamePk=824902
MLB_824413_shawn-armstrong-in-play-out-s-to-tristan-peters,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/05/406c2eb9-39bb383d-8e2caabc-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Kahlil Watson's diving grab Kahlil Watson's diving grab Kahlil Watson's diving grab Kahlil Watson runs down Tristan Peters' fly ball and makes the diving grab in the top of the 8th inning,2026-07-05,Chicago White Sox at Cleveland Guardians,,Kahlil Watson's diving grab Kahlil Watson's diving grab Kahlil Watson's diving grab Kahlil Watson runs down Tristan Peters' fly ball and makes the diving grab in the top of the 8th inning,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824413_shawn-armstrong-in-play-out-s-to-tristan-peters_Kahlil_Watson_s_diving_grab_Kahlil_Watson_s_diving_grab_Kahlil_Watson_s_diving_g.mp4,5f7cd18fac0fea4ad3ffd00ebcb5e2fbe65f3cd045348bbf46e0517cf8120bf0,gamePk=824413
MLB_824333_tyler-mahle-in-play-no-out-to-jake-mccarthy,https://bdata-producedclips.mlb.com/e17a709f-a5fb-4d00-a49d-08c797ff8164.mp4,Jake McCarthy's triple Jake McCarthy's triple Jake McCarthy triples (6) to right-center field Jake McCarthy triples (6) on a deep fly ball to right-center field,2026-07-05,San Francisco Giants at Colorado Rockies,,Jake McCarthy's triple Jake McCarthy's triple Jake McCarthy triples (6) to right-center field Jake McCarthy triples (6) on a deep fly ball to right-center field,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824333_tyler-mahle-in-play-no-out-to-jake-mccarthy_Jake_McCarthy_s_triple_Jake_McCarthy_s_triple_Jake_McCarthy_triples_6_to_right-c.mp4,d95e52fbb782b8ef5d666f2bbb7d3e0b482171379ea484343fe75c8dbf6c645a,gamePk=824333
MLB_823931_shohei-ohtani-singles-on-a-line-drive-to-center-fielder-jackson-merri,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/05/714cc6c6-516fce58-2e16068c-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Shohei Ohtani's RBI single Shohei Ohtani's RBI single Shohei Ohtani's RBI single Shohei Ohtani rips a line drive to center field, scoring a run to cut the deficit to 5-2 in the bottom of the 7th inning",2026-07-05,San Diego Padres at Los Angeles Dodgers,,"Shohei Ohtani's RBI single Shohei Ohtani's RBI single Shohei Ohtani's RBI single Shohei Ohtani rips a line drive to center field, scoring a run to cut the deficit to 5-2 in the bottom of the 7th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823931_shohei-ohtani-singles-on-a-line-drive-to-center-fielder-jackson-merri_Shohei_Ohtani_s_RBI_single_Shohei_Ohtani_s_RBI_single_Shohei_Ohtani_s_RBI_single.mp4,4dd51b63d3c27bfb852514362b6b1dab6a6f74b93eb03fe6d4f4fb08ff4535db,gamePk=823931
MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw,https://bdata-producedclips.mlb.com/7a0ed235-21ed-4109-b91e-961a69e51b5a.mp4,Carson Benge's diving catch Carson Benge's diving catch Carson Benge's diving catch Carson Benge hustles for a fly ball and lays out for a terrific catch on Mike Yastrzemski in the bottom of the 4th,2026-07-06,New York Mets at Atlanta Braves,,Carson Benge's diving catch Carson Benge's diving catch Carson Benge's diving catch Carson Benge hustles for a fly ball and lays out for a terrific catch on Mike Yastrzemski in the bottom of the 4th,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw_Carson_Benge_s_diving_catch_Carson_Benge_s_diving_catch_Carson_Benge_s_diving_ca.mp4,0a96a2bb8dfedc8ca11f11ea505a0063eeb9c60a29fa14a1853f55571da4608b,gamePk=824900
MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/4919e794-54f799cd-e54ebb4a-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Luis Lara makes the catch for the Brewers' win Luis Lara makes the catch for the Brewers' win Luis Lara makes the catch for the Brewers' win Luis Lara catches Masyn Winn's fly ball to lock down the the Brewers' 10-2 win,2026-07-07,Milwaukee Brewers at St. Louis Cardinals,,Luis Lara makes the catch for the Brewers' win Luis Lara makes the catch for the Brewers' win Luis Lara makes the catch for the Brewers' win Luis Lara catches Masyn Winn's fly ball to lock down the the Brewers' 10-2 win,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823035_luis-lara-makes-the-catch-for-the-brewers-win_Luis_Lara_makes_the_catch_for_the_Brewers_win_Luis_Lara_makes_the_catch_for_the_.mp4,7f0d498a21f81d655a863e711d43c065cbd2d87f636186d7c1a843e9b619e398,gamePk=823035
MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/dd26c675-87f96bd1-fd6717c3-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Joey Ortiz throws out Jordan Walker in the bottom of the 3rd Joey Ortiz throws out Jordan Walker in the bottom of the 3rd Joey Ortiz throws out Jordan Walker in the bottom of the 3rd Joey Ortiz fields Jordan Walker's ground ball and make the throw to first, ending the bottom of the 3rd inning",2026-07-07,Milwaukee Brewers at St. Louis Cardinals,,"Joey Ortiz throws out Jordan Walker in the bottom of the 3rd Joey Ortiz throws out Jordan Walker in the bottom of the 3rd Joey Ortiz throws out Jordan Walker in the bottom of the 3rd Joey Ortiz fields Jordan Walker's ground ball and make the throw to first, ending the bottom of the 3rd inning",ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823035_jordan-walker-grounds-out-third-baseman-joey-ortiz-to-first-baseman-a_Joey_Ortiz_throws_out_Jordan_Walker_in_the_bottom_of_the_3rd_Joey_Ortiz_throws_o.mp4,468d49145d62b562d25d972b485ed279e886e76fd427430432019458cce3f1ea,gamePk=823035
MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/78011905-4cd2d020-e13058b2-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Paul Goldschmidt's diving snag Paul Goldschmidt's diving snag Paul Goldschmidt's diving snag Paul Goldschmidt lays out on a sharp line drive from Cedric Mullins for a slick catch in the bottom of the 5th,2026-07-07,New York Yankees at Tampa Bay Rays,,Paul Goldschmidt's diving snag Paul Goldschmidt's diving snag Paul Goldschmidt's diving snag Paul Goldschmidt lays out on a sharp line drive from Cedric Mullins for a slick catch in the bottom of the 5th,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_822956_tim-hill-in-play-out-s-to-cedric-mullins_Paul_Goldschmidt_s_diving_snag_Paul_Goldschmidt_s_diving_snag_Paul_Goldschmidt_s.mp4,618aa733da10e1d096491c1f462c16c54863f00311c6647d9846bc25797c9acc,gamePk=822956
MLB_823607_matt-seelinger-in-play-run-s-to-salvador-perez,https://bdata-producedclips.mlb.com/2ef857ee-68c4-4f6a-b861-1060a06cd473.mp4,"Salvador Perez's RBI double Salvador Perez's RBI double Salvador Perez's RBI double Salvador Perez doubles on a fly ball to center field, giving the Royals the lead in the 7th inning",2026-07-07,Kansas City Royals at New York Mets,,"Salvador Perez's RBI double Salvador Perez's RBI double Salvador Perez's RBI double Salvador Perez doubles on a fly ball to center field, giving the Royals the lead in the 7th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823607_matt-seelinger-in-play-run-s-to-salvador-perez_Salvador_Perez_s_RBI_double_Salvador_Perez_s_RBI_double_Salvador_Perez_s_RBI_dou.mp4,de2567ac686c9414107579ad161f17fa149ebd886ce02ecbca93bde7b446e22f,gamePk=823607
MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-,https://bdata-producedclips.mlb.com/23df0df7-1a7e-4dd8-b606-d56d3fe2e46f.mp4,"Isaac Collins' RBI double Isaac Collins' RBI double Isaac Collins' RBI double Isaac Collins doubles on a fly ball to left field, cutting the Royals' deficit to four runs",2026-07-07,Kansas City Royals at New York Mets,,"Isaac Collins' RBI double Isaac Collins' RBI double Isaac Collins' RBI double Isaac Collins doubles on a fly ball to left field, cutting the Royals' deficit to four runs",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823607_isaac-collins-doubles-16-on-a-fly-ball-to-left-fielder-juan-soto-jac-_Isaac_Collins_RBI_double_Isaac_Collins_RBI_double_Isaac_Collins_RBI_double_Isaac.mp4,04dd30bd301095dfafb2b245c81935f77e64d9035460ec3bb9693138c835313d,gamePk=823607
MLB_823607_carson-benge-s-rbi-single,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/bc3e7cc3-e8afd5e5-9d40f1a1-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Carson Benge's RBI single Carson Benge's RBI single Carson Benge's RBI single Carson Benge singles on a line drive to right field, scoring A.J. Ewing in the bottom of the 8th inning",2026-07-07,Kansas City Royals at New York Mets,,"Carson Benge's RBI single Carson Benge's RBI single Carson Benge's RBI single Carson Benge singles on a line drive to right field, scoring A.J. Ewing in the bottom of the 8th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823607_carson-benge-s-rbi-single_Carson_Benge_s_RBI_single_Carson_Benge_s_RBI_single_Carson_Benge_s_RBI_single_Ca.mp4,120bcc6e0fc7abd3f8867070a01021a35601b0fcff05bacdadaf5d6cb3b1363d,gamePk=823607
MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta,https://bdata-producedclips.mlb.com/1bec25fe-b0bd-48b2-a016-752dd17e5ca9.mp4,"Salvador Perez's RBI single Salvador Perez's RBI single Salvador Perez's RBI single Salvador Perez singles on a fly ball to center field, tying the game at 9 in the 5th innning",2026-07-07,Kansas City Royals at New York Mets,,"Salvador Perez's RBI single Salvador Perez's RBI single Salvador Perez's RBI single Salvador Perez singles on a fly ball to center field, tying the game at 9 in the 5th innning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823607_huascar-brazoban-in-play-run-s-to-salvador-perez-osgjta_Salvador_Perez_s_RBI_single_Salvador_Perez_s_RBI_single_Salvador_Perez_s_RBI_sin.mp4,ae0a26ecf9eb4f0c8b055fcb4043f24dee53244fb3b449e6ec1260c819dad3b5,gamePk=823607
MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/5fa94586-e4cf1ac7-d5a399ca-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Lane Thomas' two-run double Lane Thomas' two-run double Lane Thomas' two-run double Lane Thomas doubles on a line drive to left field, scoring Michael Massey and Tyler Tolbert in the 4th inning",2026-07-07,Kansas City Royals at New York Mets,,"Lane Thomas' two-run double Lane Thomas' two-run double Lane Thomas' two-run double Lane Thomas doubles on a line drive to left field, scoring Michael Massey and Tyler Tolbert in the 4th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823607_kodai-senga-in-play-run-s-to-lane-thomas-sinsu1_Lane_Thomas_two-run_double_Lane_Thomas_two-run_double_Lane_Thomas_two-run_double.mp4,1ce297afb8cba89e1825a5531c64ddf0c3a7cf76be8a7d2f8435f4680b45461c,gamePk=823607
MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/95c06966-32ea39e1-d1758c33-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"A.J. Ewing's RBI single A.J. Ewing's RBI single A.J. Ewing's RBI single A.J. Ewing singles on a ground ball to center field, scoring Brett Baty in the bottom of the 4th inning",2026-07-07,Kansas City Royals at New York Mets,,"A.J. Ewing's RBI single A.J. Ewing's RBI single A.J. Ewing's RBI single A.J. Ewing singles on a ground ball to center field, scoring Brett Baty in the bottom of the 4th inning",ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823607_seth-lugo-in-play-run-s-to-a-j-ewing_A.J._Ewing_s_RBI_single_A.J._Ewing_s_RBI_single_A.J._Ewing_s_RBI_single_A.J._Ewi.mp4,fb342979a3c73842ab90727b42b6554294546cbddc80a7415601ce44720f2b9b,gamePk=823607
MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/07/463f856a-10e294a2-4240a475-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Kody Clemens' RBI triple Kody Clemens' RBI triple Kody Clemens' RBI triple Kody Clemens legs out a triple that scores one after a hard line drive to left field, extending the Twins' lead to 3-1 in the bottom of the 7th inning",2026-07-07,Cleveland Guardians at Minnesota Twins,,"Kody Clemens' RBI triple Kody Clemens' RBI triple Kody Clemens' RBI triple Kody Clemens legs out a triple that scores one after a hard line drive to left field, extending the Twins' lead to 3-1 in the bottom of the 7th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823687_erik-sabrowski-in-play-run-s-to-kody-clemens_Kody_Clemens_RBI_triple_Kody_Clemens_RBI_triple_Kody_Clemens_RBI_triple_Kody_Cle.mp4,cbfb31c62e01faa71e0d4bd839459793de4716748084d53bf66c2bbc41fcf6a4,gamePk=823687
MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/08/f437a77f-f7decbc5-1229ad74-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Tyler Rogers seals Blue Jays' win Tyler Rogers seals Blue Jays' win Tyler Rogers seals Blue Jays' win Tyler Rogers seals the Blue Jays' win by forcing Rafael Devers into a pop fly,2026-07-08,Toronto Blue Jays at San Francisco Giants,,Tyler Rogers seals Blue Jays' win Tyler Rogers seals Blue Jays' win Tyler Rogers seals Blue Jays' win Tyler Rogers seals the Blue Jays' win by forcing Rafael Devers into a pop fly,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823202_tyler-rogers-in-play-out-s-to-rafael-devers_Tyler_Rogers_seals_Blue_Jays_win_Tyler_Rogers_seals_Blue_Jays_win_Tyler_Rogers_s.mp4,a7e06fb0906718f4f7562cae59f23de1bd65b69f5dece84588373023187b2b56,gamePk=823202
MLB_823202_george-springer-lines-out-to-shortstop-willy-adames,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/08/6210a31b-4db6a7d8-a900e283-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Willy Adames' nice spinning catch Willy Adames' nice spinning catch Willy Adames' nice spinning catch Willy Adames makes a nice spinning catch on a line drive for the second out of the top of the 3rd inning for the Giants,2026-07-08,Toronto Blue Jays at San Francisco Giants,,Willy Adames' nice spinning catch Willy Adames' nice spinning catch Willy Adames' nice spinning catch Willy Adames makes a nice spinning catch on a line drive for the second out of the top of the 3rd inning for the Giants,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823202_george-springer-lines-out-to-shortstop-willy-adames_Willy_Adames_nice_spinning_catch_Willy_Adames_nice_spinning_catch_Willy_Adames_n.mp4,08ffa1f301d6dac0fa279bb05d9159c71adcea85ce735b1779abd04d0a2b01b7,gamePk=823202
MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/08/b31d0c21-692d5ddf-ab927818-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Dansby Swanson amazing diving catch Dansby Swanson amazing diving catch Dansby Swanson amazing diving catch Dansby Swanson makes an amazing diving catch on a line drive to center field for the third out of the bottom of the 8th inning for the Orioles,2026-07-08,Chicago Cubs at Baltimore Orioles,,Dansby Swanson amazing diving catch Dansby Swanson amazing diving catch Dansby Swanson amazing diving catch Dansby Swanson makes an amazing diving catch on a line drive to center field for the third out of the bottom of the 8th inning for the Orioles,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824815_gunnar-henderson-lines-out-to-shortstop-dansby-swanson_Dansby_Swanson_amazing_diving_catch_Dansby_Swanson_amazing_diving_catch_Dansby_S.mp4,9b1f8537fcad645a74a58a855529ccbea7255f2c31dc20f4c7f03b097607ecff,gamePk=824815
